system:index,area_after_km2,area_before_km2,area_flood_km2,diff_max,diff_min,has_data,imgs_after,imgs_before,k_value,method,mu,sigma,threshold,water_thr_stable,year,.geo
0,440.8749319075215,358.4286649011211,386.1687648196308,24.330141881556468,-51.88169465379758,1,1,1,1.5,ZScore,-0.1321223827626642,2.1889004897660636,-3.4154731174117594,-14.5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,843.09660336511,1244.73507393562,713.6047538453452,20.017759371718526,-57.69894497245127,1,4,5,1.5,ZScore,-0.5786427221186521,2.309992674084598,-4.043631733245549,-14.5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,893.6872749991516,960.7250761483194,994.0101429063124,39.855383478671385,-21.433331114549024,1,5,5,1.5,ZScore,-0.0368672906715395,2.094064170736264,-3.177963546775936,-14.5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1244.2397270880758,1393.0871176225335,1052.9838540745536,45.65525344904182,-44.144491285025595,1,23,20,1.5,ZScore,-0.4720473859810058,2.4307655745180123,-4.118195747758024,-14.5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1308.8969485633786,1129.344138041236,1192.4784292854195,31.926167517504147,-33.009960351866916,1,23,20,1.5,ZScore,-0.3530351159109143,2.6743421750378777,-4.36454837846773,-14.5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1120.2173624872748,1170.1524384560387,1176.1236683492725,33.393176845969975,-32.86777191539454,1,24,21,1.5,ZScore,0.733180563441533,2.6219393628427285,-3.19972848082256,-14.5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2637.6985786236733,1742.804866598019,1564.8617352741524,29.527913300520655,-30.003124539980607,1,23,21,1.5,ZScore,-0.26543950230137553,3.396127360644182,-5.359630543267648,-14.5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1164.4166957999473,1262.722295797316,1108.0788101157875,33.94707248999239,-40.443228532829345,1,22,24,1.5,ZScore,0.551909337024557,2.5341467253197316,-3.2493107509550407,-14.5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1382.4550084094717,1557.5801184576883,1172.6397484142387,27.074893992014125,-25.551878757963923,1,8,10,1.5,ZScore,0.05535411593345956,2.261836306191222,-3.337400343353373,-14.5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1396.3349154987936,1203.1673202296922,1313.7181962454006,39.47700224715851,-26.397041095695172,1,13,12,1.5,ZScore,-7.742987003512403E-4,2.574725727536684,-3.8628628900053776,-14.5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1247.9669973198497,1204.2821727300652,1163.316372494314,31.569164423966782,-34.11658954492213,1,10,10,1.5,ZScore,-0.33588922981400504,2.5684702522777423,-4.188594608230618,-14.5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,1330.626909565712,352.23168880116896,36.45206729357637,-22.832707857378402,0,0,15,1.5,ZScore,9.217535045703467,3.528837759127431,3.924278407012321,-14.5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
